IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.21.49.74,4,4,0.00,193.67,0.00,N/A
104.21.15.61,4,4,0.00,193.70,0.00,N/A
172.65.6.171,4,4,0.00,193.76,0.00,N/A
104.24.53.239,4,4,0.00,193.88,0.00,N/A
104.21.77.39,4,4,0.00,194.08,0.00,N/A
104.24.242.119,4,4,0.00,194.16,0.00,N/A
104.27.42.227,4,4,0.00,194.17,0.00,N/A
104.25.252.12,4,4,0.00,194.32,0.00,N/A
172.65.104.16,4,4,0.00,194.34,0.00,N/A
104.24.145.181,4,4,0.00,194.49,0.00,N/A
104.18.191.34,4,4,0.00,194.62,0.00,N/A
104.24.190.195,4,4,0.00,195.06,0.00,N/A
104.24.34.85,4,4,0.00,195.07,0.00,N/A
172.67.192.112,4,4,0.00,195.46,0.00,N/A
172.67.235.36,4,4,0.00,195.47,0.00,N/A
104.21.2.67,4,4,0.00,195.49,0.00,N/A
172.65.0.124,4,4,0.00,195.67,0.00,N/A
172.67.70.140,4,4,0.00,195.67,0.00,N/A
104.18.85.45,4,4,0.00,195.70,0.00,N/A
172.67.125.214,4,4,0.00,195.71,0.00,N/A
188.114.99.13,4,4,0.00,195.80,0.00,N/A
104.19.34.227,4,4,0.00,195.96,0.00,N/A
104.21.33.250,4,4,0.00,195.98,0.00,N/A
104.25.94.204,4,4,0.00,196.08,0.00,N/A
172.65.19.242,4,4,0.00,196.14,0.00,N/A
104.16.24.42,4,4,0.00,196.19,0.00,N/A
172.67.253.21,4,4,0.00,196.32,0.00,N/A
104.21.25.254,4,4,0.00,196.43,0.00,N/A
104.21.37.206,4,4,0.00,196.64,0.00,N/A
172.65.16.202,4,4,0.00,196.66,0.00,N/A
104.21.125.115,4,4,0.00,196.72,0.00,N/A
172.67.139.98,4,4,0.00,196.72,0.00,N/A
104.24.57.202,4,4,0.00,196.86,0.00,N/A
172.64.158.0,4,4,0.00,197.41,0.00,N/A
172.65.99.62,4,4,0.00,197.68,0.00,N/A
172.67.208.73,4,4,0.00,198.12,0.00,N/A
172.65.160.20,4,4,0.00,198.30,0.00,N/A
104.21.215.246,4,4,0.00,198.42,0.00,N/A
104.21.121.0,4,4,0.00,198.54,0.00,N/A
172.65.21.181,4,4,0.00,198.62,0.00,N/A
104.18.164.218,4,4,0.00,198.64,0.00,N/A
104.16.16.185,4,4,0.00,198.68,0.00,N/A
104.27.5.205,4,4,0.00,199.15,0.00,N/A
104.27.95.52,4,4,0.00,199.30,0.00,N/A
